organization_id,original_value,normalized_number,extension,country_code,is_valid,parse_error,use,sequence,organization_original_id,created_at
e4458f51-40e6-5300-bf44-6fddb25df3b7,(+1) 415-651-8065,+14156518065,,+1,True,,,0,001,2025-10-27T22:34:50.103212
0be84fad-a9e3-5e0d-b693-a452b2bc4389,(+1) 415-651-8065,+14156518065,,+1,True,,,0,a9b4986d-d837-4f7c-95d5-1ec461c193fb,2025-10-27T22:34:50.108497
b1eea8d5-e3b7-5a36-a5fe-4202e2b1e5d3,413-221-0546,+14132210546,,+1,True,,,0,1811435a7ea-7a1b883e-e0f0-4cb2-b938-4b6fd8d60f0c,2025-10-27T22:34:50.115519
da286e78-c309-5e8c-9d03-bb7c147d0683,+14056693569,+14056693569,,+1,True,,,0,1311,2025-10-27T22:35:09.399589
e95ed5d1-c544-5bb4-bbf1-46f31e245011,+17322003535,+17322003535,,+1,True,,,0,1331,2025-10-27T22:35:09.403264
ed413f5a-eaba-5b96-b785-974cc26434d8,+17048172022,+17048172022,,+1,True,,,0,530,2025-10-27T22:35:09.406385
a87dcd30-aa32-5cdf-a98c-3410b4c821ab,+19549617700,+19549617700,,+1,True,,,0,271,2025-10-27T22:35:09.409502
a73b86b2-9d33-5a87-9a18-7aaaa6e1cc2d,+13363731557,+13363731557,,+1,True,,,0,52,2025-10-27T22:35:09.412586
91de3e0e-f017-573a-90d8-c5be485df0ed,+18645408430,+18645408430,,+1,True,,,0,1050,2025-10-27T22:35:09.416069
a167a38a-d263-57ec-9adb-46d1177a492e,+17045414240,+17045414240,,+1,True,,,0,1070,2025-10-27T22:35:09.419738
f297fff0-3d83-58bd-8b35-54f36ccf8898,5551234567,+15551234567,,+1,False,,work,0,LO-0,2025-10-28T01:44:37.924298
374c4b9d-0a3f-57df-8415-611f25928f68,504 309-9103,+15043099103,,+1,True,,,0,idQNdE67ik-xDG8Lhbhat7fw,2025-10-28T01:44:38.457333
5449d5d3-da38-5dc6-a329-defe681dc84d,206-448-2855,+12064482855,,+1,True,,,0,34c0cdef-5e71-459e-bf29-5f15faa2ff,2025-10-28T01:44:59.606085
