id,country_code,address1,address2,address3,address4,locality,administrative_area,postal_code,latitude,longitude
INTL_8170430b-7,PR,Caribbean Uro Centre 3103 Sausalito Urb Mansiones,,,,Cabo Rojo,PR,00623,,
INTL_d054e70d-b,SG,HRC SG Holdings PTE. LTD. (Rhythm) One Raffles Place #28-02 Towe,,,,Singapore,Singapore,048616,,
INTL_f2487e50-3,PR,"Livindi, Inc Villa",,,,Dorado,PR,00646-2207,,
INTL_fc344d19-4,GU,"Evergreen Health Center, LLC 520 Route 8 Ste 106",,,,Maite,GU,96910-5040,,
INTL_1f036d0a-5,VI,Cardiovascular Assoc. of the Virgin Islands PO Box 5988,,,,Christiansted,VI,00823-5988,,
INTL_14a621c2-1,,Hoopes Vision Correction Center11820 S State Street,,,,Draper,UT,84020-7133,,
INTL_7ec274d2-f,UN,,,,,unknown,unknown,unknown,,
INTL_e57c1cbf-a,VI,"Island Pulmonary, LLC 9149 Estate Thomas Ste 202",,,,St Thomas,VI,00802-3132,,
INTL_34807ff9-0,SG,HRC SG HOLDINGS PTE. LTD. One Raffles Place #28-02 Tower 1 S,,,,Singapore,unknown,048616,,
INTL_0283ad20-3,VI,DR. RISA M. M. NIELSEN MD Beeston Hill Medical Center,,,,CHRISTIANSTED,VI,00820-5254,,
INTL_63000b63-d,MP,"MMC & PACIFIC LABS, LLC Pmb 145",,,,Saipan,MP,96950-8903,,
INTL_87024515-6,MP,"355 GRB P.O. Box 355 GRB, 6690 Kagman Commercial Bldg, Kagman Rd",,,,Saipan,MP,96950-5556,,
INTL_391a07a1-a,GU,Guam Specialist Group 280 Pale San Vitores Rd,,,,Tamuning,GU,96913-3615,,
INTL_2a216c99-c,GU,Island Medical Staff & Billing 633 Gov. Carlos Camacho Road Suit,,,,Tamuning,GU,96913,,
INTL_96e89b00-9,VI,"Vi Neurological Medical Group Inc Upper Havensight B-3, Suite 30",,,,St. Thomas,VI,00802,,
INTL_fbb143b4-d,UN,,,,,Winston Salem,NC,,,
INTL_74cf0c58-0,UN,,,,,Colts Neck,NJ,,,
INTL_70d3df6e-c,UN,,,,,Abilene,TX,,,
INTL_fe0a31b9-7,UN,,,,,Lafayette,LA,,,
INTL_f935881e-7,UN,,,,,Downers Grove,IL,,,
INTL_372ea131-7,UN,,,,,Dallas,TX,,,
INTL_0f323cf7-a,UN,,,,,Medina,OH,,,
INTL_5bb6b1a7-c,UN,,,,,Dallas,TX,,,
INTL_67c30382-d,UN,,,,,Greenfield,WI,,,
INTL_839a62f9-c,UN,,,,,North Liberty,IA,,,
INTL_a971662a-a,UN,,,,,Aventura,FL,,,
INTL_e7a31a0f-4,UN,,,,,Omaha,NE,,,
INTL_3ba8fb95-9,UN,,,,,Phoenix,AZ,,,
INTL_aff39385-5,UN,,,,,Tallahassee,FL,,,
INTL_95466d4f-c,UN,,,,,Monroe,MI,,,
INTL_c208f0e8-6,UN,,,,,Lauderhill,FL,,,
INTL_e117895e-8,UN,,,,,San Antonio,TX,,,
INTL_f6a8b039-b,UN,,,,,Saginaw,MI,,,
INTL_9cfc3a80-9,UN,,,,,Canon City,CO,,,
INTL_1f8303d8-0,UN,,,,,Albertville,AL,,,
INTL_ce3c4ff7-e,UN,,,,,Cave Creek,AZ,,,
INTL_2177fff3-7,UN,,,,,Bloomington,IL,,,
INTL_1e981584-a,UN,,,,,Syracuse,NY,,,
INTL_ca09bd4a-9,UN,,,,,Boise,ID,,,
INTL_d8f752bb-c,UN,,,,,NULL,MO,,,
INTL_07d852f1-5,UN,,,,,St Marys,GA,,,
INTL_b7d7ed29-1,UN,,,,,Saint Marys,GA,,,
INTL_ae15b5b2-f,UN,,,,,Glenview,IL,,,
INTL_a81eba5c-2,UN,,,,,Hyattsville,MD,,,
INTL_7fe48593-4,UN,,,,,Rome,GA,,,
INTL_15a05148-1,UN,,,,,Scottsdale,AZ,,,
INTL_c8bcb8ef-c,UN,,,,,Stockton,CA,,,
INTL_51c4ef2a-7,UN,,,,,Templeton,CA,,,
INTL_8d2c7ee5-f,UN,,,,,Herndon,VA,,,
INTL_d217d656-9,UN,,,,,Peoria,IL,,,
INTL_de95c61d-c,UN,,,,,Johns Creek,GA,,,
INTL_7d868934-9,UN,,,,,Las Vegas,NV,,,
INTL_720e8cae-e,UN,,,,,Claremont,CA,,,
INTL_019fad30-6,UN,,,,,Tulsa,OK,,,
INTL_50026f50-d,UN,,,,,Boca Raton,FL,,,
INTL_ba01c327-9,UN,,,,,Sun City,AZ,,,
INTL_e3013182-8,UN,,,,,"Fontana,",CA,,,
INTL_4ea8fc62-d,UN,,,,,Joliet,IL,,,
INTL_7ab78497-6,UN,,,,,Las Cruces,NM,,,
INTL_2b634e97-1,UN,,,,,Frisco,TX,,,
INTL_856b8f1e-4,UN,,,,,Clearwater,FL,,,
INTL_dbd00cf5-a,UN,,,,,San Francisco,CA,,,
INTL_ef557248-0,UN,,,,,Nashville,TN,,,
INTL_ded627c9-f,UN,,,,,Bakersfield,CA,,,
INTL_4f9fe210-a,UN,,,,,ALBUQUERQUE,NM,,,
INTL_b9cf1325-2,UN,,,,,Port Saint Lucie,FL,,,
INTL_1613e3bc-b,UN,,,,,Henderson,NV,,,
INTL_b89345d4-b,UN,,,,,Orlando,FL,,,
INTL_80dcc35f-f,UN,,,,,Pasadena,CA,,,
INTL_01cc4ba7-8,UN,,,,,Stephenville,TX,,,
INTL_e25280fe-1,UN,,,,,Mansfield,TX,,,
INTL_192bda4c-f,UN,,,,,Lake Mary,FL,,,
INTL_fad739ac-1,UN,,,,,Toledo,OH,,,
INTL_19efa2a5-4,UN,,,,,Chandler,AZ,,,
INTL_06bd564a-f,UN,,,,,Morristown,TN,,,
INTL_4690ed68-7,UN,,,,,Gilbert,AZ,,,
INTL_442c6402-9,UN,,,,,Wheat Ridge,CO,,,
INTL_4acdf956-1,UN,,,,,Redding,CA,,,
INTL_3a3a04e1-d,UN,,,,,Rockingham,NC,,,
INTL_68d096fe-3,UN,,,,,Fresno,CA,,,
INTL_867bb739-2,UN,,,,,Brooksville,FL,,,
INTL_562d5cb9-3,UN,,,,,Tamuning,GU,,,
INTL_2f96775c-6,UN,,,,,Sparta,TN,,,
INTL_8bd03635-3,UN,,,,,Lutherville,MD,,,
INTL_6d731322-0,UN,,,,,Reston,VA,,,
INTL_421a5940-6,UN,,,,,Miami,FL,,,
INTL_ede0e601-5,UN,,,,,Chesterfield,MO,,,
INTL_f637cb03-7,UN,,,,,Flagstaff,AZ,,,
